country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow,closedByAssumption
US,3000,150000,1,0,yahoo-auctions,buyee,courier-ecms,180473,,false,,,,,,zenmarket,181837,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,250000,1,0,yahoo-auctions,buyee,courier-ecms,296975,,false,,,,,,zenmarket,298339,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,3000,1,0,yahoo-auctions,buyee,courier-ecms,11364,,false,,,,,,zenmarket,13010,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,10000,1,0,yahoo-auctions,buyee,courier-ecms,19520,,false,,,,,,zenmarket,21166,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,30000,1,0,yahoo-auctions,buyee,courier-ecms,42821,,false,,,,,,zenmarket,44466,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,60000,1,0,yahoo-auctions,buyee,courier-ecms,77771,,false,,,,,,zenmarket,79416,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,100000,1,0,yahoo-auctions,buyee,courier-ecms,124371,,false,,,,,,zenmarket,126017,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,150000,1,0,yahoo-auctions,buyee,courier-ecms,182623,,false,,,,,,zenmarket,184268,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,250000,1,0,yahoo-auctions,buyee,courier-ecms,299125,,false,,,,,,zenmarket,300770,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,8000,3000,1,0,yahoo-auctions,buyee,courier-ecms,11364,,false,,,,,,zenmarket,13010,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,8000,10000,1,0,yahoo-auctions,buyee,courier-ecms,19520,,false,,,,,,zenmarket,21166,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,8000,30000,1,0,yahoo-auctions,buyee,courier-ecms,42821,,false,,,,,,zenmarket,44466,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,8000,60000,1,0,yahoo-auctions,buyee,courier-ecms,77771,,false,,,,,,zenmarket,79416,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,8000,100000,1,0,yahoo-auctions,buyee,courier-ecms,124371,,false,,,,,,zenmarket,126017,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,8000,150000,1,0,yahoo-auctions,buyee,courier-ecms,182623,,false,,,,,,zenmarket,184268,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,8000,250000,1,0,yahoo-auctions,buyee,courier-ecms,299125,,false,,,,,,zenmarket,300770,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,200,3000,1,0,yahoo-auctions,zenmarket,small-packet-air,8265,8265,false,,,,,,fromjapan,8857,
GB,200,10000,1,0,yahoo-auctions,zenmarket,small-packet-air,16970,16970,false,,,,,,fromjapan,17511,
GB,200,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,42969,43370,false,,,,,,fromjapan,43358,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,200,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,81313,81714,false,,,,,,buyee,81801,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,200,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,132437,132838,false,,,,,,buyee,132643,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,200,150000,1,0,yahoo-auctions,buyee,small-packet-air,196197,196197,false,,,,,,zenmarket,196343,
GB,200,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,324154,324555,false,,,,,,buyee,325683,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,500,3000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,8918,8918,false,,,,,,fromjapan,9525,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,500,10000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,17623,17623,false,,,,,,fromjapan,18179,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,500,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,43482,43482,false,,,,,,fromjapan,44044,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,500,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,81825,81825,false,,,,,,buyee,82487,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,500,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,132950,132950,false,,,,,,buyee,133330,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,500,150000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,196856,196856,false,,,,,,buyee,196883,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,500,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,324668,324668,false,,,,,,buyee,325683,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,1000,3000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,9751,9751,false,,,,,,fromjapan,10860,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,1000,10000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,18456,18456,false,,,,,,fromjapan,19514,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,1000,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,44339,44339,false,,,,,,fromjapan,45416,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,1000,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,82682,82682,false,,,,,,buyee,83859,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,1000,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,133807,133807,false,,,,,,buyee,134702,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
