country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow
FR,500,30000,1,0,mercari,fromjapan,small-packet-air,44071,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,buyee,44589
FR,500,60000,1,0,mercari,buyee,small-packet-air,83153,83153,false,,,,,,zenmarket,83837
FR,500,100000,1,0,mercari,buyee,small-packet-air,134572,134572,false,,,,,,zenmarket,135256
FR,500,150000,1,0,mercari,buyee,small-packet-air,198845,198845,false,,,,,,zenmarket,199529
FR,500,250000,1,0,mercari,zenmarket,courier-ecms-express,328076,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,buyee,329361
FR,1000,3000,1,0,mercari,fromjapan,small-packet-air,11069,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,zenmarket,11127
FR,1000,10000,1,0,mercari,fromjapan,small-packet-air,19723,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,zenmarket,19832
FR,1000,30000,1,0,mercari,fromjapan,small-packet-air,45458,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,buyee,45976
FR,1000,60000,1,0,mercari,buyee,small-packet-air,84540,84540,false,,,,,,zenmarket,85465
FR,1000,100000,1,0,mercari,buyee,small-packet-air,135959,135959,false,,,,,,zenmarket,136884
FR,1000,150000,1,0,mercari,buyee,small-packet-air,200233,200233,false,,,,,,zenmarket,201157
FR,1000,250000,1,0,mercari,buyee,courier-buyee-air,329947,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,330611
FR,2000,3000,1,0,mercari,buyee,courier-buyee-air,14046,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,16400
FR,2000,10000,1,0,mercari,buyee,courier-buyee-air,22700,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,25105
FR,2000,30000,1,0,mercari,buyee,courier-buyee-air,48591,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,51347
FR,2000,60000,1,0,mercari,buyee,courier-buyee-air,87155,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,89911
FR,2000,100000,1,0,mercari,buyee,courier-buyee-air,138574,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,141330
FR,2000,150000,1,0,mercari,buyee,courier-buyee-air,202847,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,205604
FR,2000,250000,1,0,mercari,buyee,courier-buyee-air,331394,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,334151
FR,3000,3000,1,0,mercari,buyee,courier-buyee-air,15005,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,17694
FR,3000,10000,1,0,mercari,buyee,courier-buyee-air,23659,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,26851
FR,3000,30000,1,0,mercari,buyee,courier-buyee-air,49589,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,52704
FR,3000,60000,1,0,mercari,buyee,courier-buyee-air,88153,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,91268
FR,3000,100000,1,0,mercari,buyee,courier-buyee-air,139572,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,142686
FR,3000,150000,1,0,mercari,buyee,courier-buyee-air,203845,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,206960
FR,3000,250000,1,0,mercari,buyee,courier-buyee-air,332392,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,335507
FR,5000,3000,1,0,mercari,buyee,courier-buyee-air,17606,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,21197
