country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow
FR,1000,60000,1,0,mercari,buyee,small-packet-air,84540,84540,false,,,,,,zenmarket,85465
FR,1000,100000,1,0,mercari,buyee,small-packet-air,135959,135959,false,,,,,,zenmarket,136884
FR,1000,150000,1,0,mercari,buyee,small-packet-air,200233,200233,false,,,,,,zenmarket,201157
FR,1000,250000,1,0,mercari,buyee,courier-buyee-air,329947,329947,false,,,,,,zenmarket,330611
FR,2000,3000,1,0,mercari,buyee,courier-buyee-air,14046,14822,false,,,,,,zenmarket,16400
FR,2000,10000,1,0,mercari,buyee,courier-buyee-air,22700,23476,false,,,,,,zenmarket,25105
FR,2000,30000,1,0,mercari,buyee,courier-buyee-air,48591,49367,false,,,,,,zenmarket,51347
FR,2000,60000,1,0,mercari,buyee,courier-buyee-air,87155,87931,false,,,,,,zenmarket,89911
FR,2000,100000,1,0,mercari,buyee,courier-buyee-air,138574,139350,false,,,,,,zenmarket,141330
FR,2000,150000,1,0,mercari,buyee,courier-buyee-air,202847,203623,false,,,,,,zenmarket,205604
FR,2000,250000,1,0,mercari,buyee,courier-buyee-air,331394,332170,false,,,,,,zenmarket,334151
FR,3000,3000,1,0,mercari,buyee,courier-buyee-air,15005,17109,false,,,,,,fromjapan,17694
FR,3000,10000,1,0,mercari,buyee,courier-buyee-air,23659,25763,false,,,,,,zenmarket,26851
FR,3000,30000,1,0,mercari,buyee,courier-buyee-air,49589,51693,false,,,,,,zenmarket,52704
FR,3000,60000,1,0,mercari,buyee,courier-buyee-air,88153,90257,false,,,,,,zenmarket,91268
FR,3000,100000,1,0,mercari,buyee,courier-buyee-air,139572,141676,false,,,,,,zenmarket,142686
FR,3000,150000,1,0,mercari,buyee,courier-buyee-air,203845,205949,false,,,,,,zenmarket,206960
FR,3000,250000,1,0,mercari,buyee,courier-buyee-air,332392,334496,false,,,,,,zenmarket,335507
FR,5000,3000,1,0,mercari,buyee,courier-buyee-air,17606,23614,false,,,,,,zenmarket,21197
FR,5000,10000,1,0,mercari,buyee,courier-buyee-air,26260,32268,false,,,,,,zenmarket,29902
FR,5000,30000,1,0,mercari,buyee,courier-buyee-air,52293,58301,false,,,,,,zenmarket,55746
FR,5000,60000,1,0,mercari,buyee,courier-buyee-air,90858,96866,false,,,,,,zenmarket,94310
FR,5000,100000,1,0,mercari,buyee,courier-buyee-air,142276,148284,false,,,,,,zenmarket,145729
FR,5000,150000,1,0,mercari,buyee,courier-buyee-air,206550,212558,false,,,,,,zenmarket,210003
FR,5000,250000,1,0,mercari,buyee,courier-buyee-air,335097,341105,false,,,,,,zenmarket,338550
FR,8000,3000,1,0,mercari,buyee,courier-buyee-air,17606,23614,false,,,,,,zenmarket,21197
FR,8000,10000,1,0,mercari,buyee,courier-buyee-air,26260,32268,false,,,,,,zenmarket,29902
FR,8000,30000,1,0,mercari,buyee,courier-buyee-air,52293,58301,false,,,,,,zenmarket,55746
FR,8000,60000,1,0,mercari,buyee,courier-buyee-air,90858,96866,false,,,,,,zenmarket,94310
FR,8000,100000,1,0,mercari,buyee,courier-buyee-air,142276,148284,false,,,,,,zenmarket,145729
FR,8000,150000,1,0,mercari,buyee,courier-buyee-air,206550,212558,false,,,,,,zenmarket,210003
FR,8000,250000,1,0,mercari,buyee,courier-buyee-air,335097,341105,false,,,,,,zenmarket,338550
AU,200,3000,1,0,mercari,fromjapan,small-packet-air,6509,6509,false,,,,,,buyee,6850
AU,200,10000,1,0,mercari,fromjapan,small-packet-air,14488,14488,false,,,,,,buyee,14829
AU,200,30000,1,0,mercari,fromjapan,small-packet-air,37286,37286,false,,,,,,buyee,37627
AU,200,60000,1,0,mercari,buyee,small-packet-air,71824,71824,false,,,,,,zenmarket,71990
AU,200,100000,1,0,mercari,buyee,small-packet-air,117420,117420,false,,,,,,zenmarket,117585
AU,200,150000,1,0,mercari,buyee,small-packet-air,188388,188388,false,,,,,,fromjapan,188635
AU,200,250000,1,0,mercari,fromjapan,courier-ecms,304562,304859,false,,,,,,zenmarket,304630
AU,500,3000,1,0,mercari,fromjapan,small-packet-air,7124,7124,false,,,,,,buyee,7409
AU,500,10000,1,0,mercari,fromjapan,small-packet-air,15104,15104,false,,,,,,buyee,15389
AU,500,30000,1,0,mercari,fromjapan,small-packet-air,37902,37902,false,,,,,,buyee,38187
AU,500,60000,1,0,mercari,buyee,small-packet-air,72383,72383,false,,,,,,zenmarket,72501
AU,500,100000,1,0,mercari,buyee,small-packet-air,117979,117979,false,,,,,,zenmarket,118096
AU,500,150000,1,0,mercari,fromjapan,courier-ecms,188973,188973,false,,,,,,buyee,189001
